Record,Orthography,Target,Target Syllables,CV,Syllable Count,Stress
1,dedo,ˈdedo,ˈd:Oe:Nd:Oo:N,ˈCV.CV,2,1U
2,caja,ˈkaxa,ˈk:Oa:Nx:Oa:N,ˈCV.CV,2,1U
3,fuerte,ˈfweɾte,ˈf:Ow:Oe:Nɾ:Ct:Oe:N,ˈCGVC.CV,2,1U
4,corriendo,koˈrjendo,k:Oo:Nˈr:Oj:Oe:Dn:Cd:Oo:N,CVˈCGVC.CV,3,U1U
5,puerro,ˈpwero,ˈp:Ow:Oe:Dr:Oo:N,ˈCGV.CV,2,1U
6,gasolina,ɡasoˈlina,ɡ:Oa:Ns:Oo:Nˈl:Oi:Nn:Oa:N,CV.CVˈCV.CV,4,UU1U
7,prende,ˈpɾende,ˈp:Oɾ:Oe:Nn:Cd:Oe:N,ˈCCVC.CV,2,1U
8,muerde,ˈmweɾde,ˈm:Ow:Oe:Nɾ:Cd:Oe:N,ˈCGVC.CV,2,1U
9,nuez,nwes,n:Ow:Oe:Ns:C,CGVC,1,U
10,grande,ˈɡɾande,ˈɡ:Oɾ:Oa:Nn:Cd:Oe:N,ˈCCVC.CV,2,1U
11,bandera,banˈdeɾa,b:Oa:Nn:Cˈd:Oe:Nɾ:Oa:N,CVCˈCV.CV,3,U1U
12,jaula,ˈxawla,ˈx:Oa:Dw:Dl:Oa:N,ˈCVG.CV,2,1U
13,más,mas,m:Oa:Ns:C,CVC,1,U
14,arcoiris,ˈaɾkoiɾis,ˈa:Nɾ:Ck:Oo:Nˈi:Nɾ:Oi:Ns:C,ˈVC.CV.V.CVC,4,1UUU
15,mariposa,maɾiˈposa,m:Oa:Nɾ:Oi:Nˈp:Oo:Ns:Oa:N,CV.CVˈCV.CV,4,UU1U
16,sueño,ˈsweɲo,ˈs:Ow:Oe:Dɲ:Oo:N,ˈCGV.CV,2,1U
17,caldo,ˈkaldo,ˈk:Oa:Nl:Cd:Oo:N,ˈCVC.CV,2,1U
18,castillo,kasˈtiʝo,k:Oa:Ns:Cˈt:Oi:Nʝ:Oo:N,CVCˈCV.CV,3,U1U
19,gris,ɡɾis,ɡ:Oɾ:Oi:Ns:C,CCVC,1,U
20,doble,ˈdoble,ˈd:Oo:Nb:Ol:Oe:N,ˈCV.CCV,2,1U
21,fiesta,ˈfjesta,ˈf:Oj:Oe:Ds:Ct:Oa:N,ˈCGVC.CV,2,1U
22,aire,ˈajɾe,ˈa:Dj:Dɾ:Oe:N,ˈVG.CV,2,1U
23,béisbol,ˈbejsbol,ˈb:Oe:Dj:Ds:Cb:Oo:Nl:C,ˈCVGC.CVC,2,1U
24,dueño,ˈdweɲo,ˈd:Ow:Oe:Nɲ:Oo:N,ˈCGV.CV,2,1U
25,jugo,ˈxuɡo,ˈx:Ou:Nɡ:Oo:N,ˈCV.CV,2,1U
26,lágrima,ˈlaɡɾima,ˈl:Oa:Nɡ:Oɾ:Oi:Nm:Oa:N,ˈCV.CCV.CV,3,1UU
27,dormido,doɾˈmido,d:Oo:Nɾ:Cˈm:Oi:Nd:Oo:N,CVCˈCV.CV,3,U1U
28,suéter,ˈsweteɾ,ˈs:Ow:Oe:Nt:Oe:Nɾ:C,ˈCGV.CVC,2,1U
29,correo,koˈreo,k:Oo:Nˈr:Oe:No:N,CVˈCV.V,3,U1U
30,peine,ˈpejne,ˈp:Oe:Dj:Dn:Oe:N,ˈCVG.CV,2,1U
31,foto,ˈfoto,ˈf:Oo:Nt:Oo:N,ˈCV.CV,2,1U
32,puerta,ˈpweɾta,ˈp:Ow:Oe:Nɾ:Ct:Oa:N,ˈCGVC.CV,2,1U
33,sopa,ˈsopa,ˈs:Oo:Np:Oa:N,ˈCV.CV,2,1U
34,mujer,muˈxeɾ,m:Ou:Nˈx:Oe:Nɾ:C,CVˈCVC,2,U1
35,globos,ˈɡlobos,ˈɡ:Ol:Oo:Nb:Oo:Ns:C,ˈCCV.CVC,2,1U
36,paraguas,paˈɾaɡwas,p:Oa:Nˈɾ:Oa:Nɡ:Ow:Oa:Ns:C,CVˈCV.CGVC,3,U1U
37,papel,paˈpel,p:Oa:Nˈp:Oe:Nl:C,CVˈCVC,2,U1
38,pintura,pinˈtuɾa,p:Oi:Nn:Cˈt:Ou:Nɾ:Oa:N,CVCˈCV.CV,3,U1U
39,fiel,fjel,f:Oj:Oe:Dl:C,CGVC,1,U
40,tío,ˈtio,ˈt:Oi:No:N,ˈCV.V,2,1U
41,luna,ˈluna,ˈl:Ou:Nn:Oa:N,ˈCV.CV,2,1U
42,mano,ˈmano,ˈm:Oa:Nn:Oo:N,ˈCV.CV,2,1U
43,mar,maɾ,m:Oa:Nɾ:C,CVC,1,U
44,duele,ˈdwele,ˈd:Ow:Oe:Nl:Oe:N,ˈCGV.CV,2,1U
45,libro,ˈlibɾo,ˈl:Oi:Nb:Oɾ:Oo:N,ˈCV.CCV,2,1U
46,waffle,ˈwafle,ˈw:Oa:Nf:Ol:Oe:N,ˈGV.CCV,2,1U
47,bicicleta,bisiˈkleta,b:Oi:Ns:Oi:Nˈk:Ol:Oe:Nt:Oa:N,CV.CVˈCCV.CV,4,UU1U
48,cuarto,ˈkwaɾto,ˈk:Ow:Oa:Nɾ:Ct:Oo:N,ˈCGVC.CV,2,1U
49,hueso,ˈweso,ˈw:Oe:Ds:Oo:N,ˈGV.CV,2,1U
50,campana,kamˈpana,k:Oa:Nm:Cˈp:Oa:Nn:Oa:N,CVCˈCV.CV,3,U1U
51,clavo,ˈklabo,ˈk:Ol:Oa:Nb:Oo:N,ˈCCV.CV,2,1U
52,dieta,ˈdjeta,ˈd:Oj:Oe:Dt:Oa:N,ˈCGV.CV,2,1U
53,agua,ˈaɡwa,ˈa:Nɡ:Ow:Oa:N,ˈV.CGV,2,1U
